serial number,beds,baths,size,zip_code,price
651,2,2.0,1644,98101,2250000
1623,3,3.0,2080,98108,762000
1004,2,2.0,1065,98126,430000
1274,1,1.0,758,98103,469000
78,2,1.0,870,98118,555000
829,3,1.0,1260,98168,440000
32,3,3.0,1550,98115,950000
914,3,2.5,1580,98103,1095000
936,4,2.0,1742,98105,781000
382,3,2.0,1496,98144,824500
630,5,3.5,4180,98109,3000000
163,2,2.0,1030,98122,575000
203,1,1.0,621,98133,289900
1355,3,2.5,1880,98106,725000
1193,2,2.5,996,98122,799000
1575,4,3.5,2970,98103,2080000
916,3,1.0,980,98103,500000
1249,3,2.0,1049,98112,900000
1981,2,2.0,1252,98121,1349000
1712,2,2.0,1523,98121,1425000
1699,3,2.5,2080,98116,1200000
1639,3,2.0,1400,98117,780000
1383,2,1.0,2380,98108,640000
218,4,4.0,2650,98103,1000000
1946,2,1.0,700,98117,800000
1587,2,1.0,670,98126,510000
861,3,2.0,2110,98108,815000
353,4,3.0,2660,98117,1360000
712,2,2.0,3120,98118,1050000
59,3,2.5,1500,98105,860000
1083,3,2.5,1760,98136,850000
297,1,1.0,712,98133,325000
73,3,1.5,1340,98106,615000
162,2,1.0,840,98108,489000
963,1,1.0,696,98105,385000
1547,5,2.0,2740,98103,1175000
1503,2,2.0,1060,98117,650000
1052,4,2.0,1640,98136,730000
2008,3,2.0,1482,98117,919000
1023,5,3.0,2120,98126,750000
45,2,2.0,1523,98121,1395000
1263,2,2.0,1761,98115,665000
1107,3,2.5,1570,98103,901000
432,1,1.0,715,98115,515000
1657,3,2.0,1120,98106,600000
76,1,1.0,635,98104,509950
1932,3,2.0,1799,98103,940000
1424,5,2.5,3350,98126,1275000
1472,3,2.0,1770,98118,660000
478,2,2.0,880,98126,680000
453,2,1.0,770,98126,560000
383,2,2.5,1250,98117,725000
926,4,2.0,1480,98118,665000
30,3,2.5,1690,98108,760000
1392,3,1.0,980,98119,700000
1523,4,2.0,1670,98106,650000
999,2,1.5,1320,98116,810000
1113,2,2.5,820,98126,525000
1057,4,3.0,2160,98125,980000
1173,4,4.5,3610,98112,2800000
862,1,1.0,557,98102,399950
1561,3,2.0,1740,98115,1070000
1578,3,2.5,1520,98108,818000
1391,3,3.0,1280,98103,900000
1977,3,3.0,1650,98103,974999
44,2,2.0,1280,98112,776000
494,4,3.0,3120,98144,1670000
168,3,1.5,1172,98122,685000
303,2,1.0,1120,98122,700000
2003,1,1.0,705,98103,490000
420,3,3.0,3120,98199,1350000
1940,4,2.0,2630,98115,1350000
611,3,2.5,1550,98107,825000
1735,4,2.5,2190,98136,1075000
1292,1,1.0,510,98104,308000
1664,5,3.0,2610,98109,1795000
585,3,2.5,1280,98105,900000
1975,2,2.0,1004,98125,325000
802,3,2.0,1800,98117,1130000
1283,3,1.0,890,98126,575000
1290,4,4.0,2300,98115,1210000
414,2,1.0,1720,98118,575000
185,2,1.0,1422,98117,715000
710,1,1.5,1021,98101,1099900
1170,1,1.0,513,98121,315000
1211,4,3.0,2949,98103,1610000
300,2,1.0,970,98106,386000
1576,4,2.0,2340,98103,1800000
1744,1,1.0,672,98107,485000
939,3,3.5,1530,98117,1089000
1611,4,3.0,1780,98117,1184000
817,1,1.0,562,98199,285000
1948,4,2.0,1770,98115,1425000
1375,2,1.0,1520,98117,820000
987,2,2.0,1400,98119,1295000
175,3,1.0,1000,98118,710000
1179,9,9.0,3780,98119,1210000
694,3,1.5,2300,98107,1125000
1621,2,1.0,1210,98144,725000
123,3,3.5,1370,98117,699500
367,3,2.0,2020,98133,917500
1532,2,2.0,1403,98125,480000
788,3,3.0,1687,98115,946000
39,1,1.0,573,98102,390000
715,1,1.0,578,98121,379000
950,4,3.5,2191,98103,1394600
331,4,2.5,2240,98117,1050000
1498,2,1.0,1015,98102,650000
194,6,3.0,3020,98178,775000
527,3,2.5,2150,98116,1360000
965,3,4.5,1460,98108,700000
1726,1,1.0,712,98109,385000
322,1,1.0,630,98133,255000
1204,1,1.0,603,98121,432000
266,2,2.0,1245,98168,330000
1255,4,3.0,3110,98119,1500000
1440,2,2.0,886,98116,660000
67,3,2.5,2620,98119,1300000
1847,2,1.0,990,98108,455000
1813,3,3.5,2996,98115,2050000
680,3,2.5,1346,98107,899000
485,3,3.0,2070,98136,730000
480,3,2.0,1340,98103,925000
1421,5,3.5,3310,98102,1637500
706,2,2.0,1015,98115,500000
548,4,4.5,5200,98118,2600000
1422,2,2.0,1699,98109,640000
427,2,3.0,1740,98105,1395000
1645,5,3.0,2580,98109,1500000
1487,2,2.0,1200,98122,705000
479,1,1.0,794,98121,660000
450,2,1.0,1440,98125,699950
925,1,1.0,594,98105,405000
617,4,2.5,2052,98178,865000
1541,1,1.0,690,98133,290000
1962,4,3.5,2960,98103,1700000
1670,4,3.0,2440,98199,1850000
943,3,2.5,1650,98106,675000
1922,3,3.5,1762,98102,1000000
1111,3,2.5,1631,98103,1049950
693,14,5.0,3884,98106,1300000
1492,2,1.0,512,98103,312000
921,4,5.5,2410,98146,1500000
261,5,2.5,2900,98106,800000
746,3,2.0,2120,98103,1130000
1380,4,3.5,3018,98103,1795000
240,3,2.0,1380,98117,800000
1644,2,1.0,1150,98118,575000
2014,2,2.0,795,98103,590000
579,1,1.0,648,98115,515000
1350,4,2.0,1840,98103,825000
552,4,3.5,2560,98144,1325000
365,3,2.0,2980,98115,1415000
1029,2,1.0,792,98102,520000
1742,4,3.0,2320,98112,1472500
591,1,1.0,620,98119,399000
741,2,1.5,1120,98103,605000
1281,3,3.0,2560,98112,1300000
583,2,1.0,2110,98146,376000
71,3,2.0,2350,98178,888000
887,3,3.5,1500,98103,700000
259,4,3.0,2190,98126,860000
51,2,1.0,720,98177,600000
198,2,1.5,917,98103,625000
1181,3,3.0,1410,98107,865000
654,2,1.0,2530,98122,700000
332,2,1.0,886,98112,620000
1488,3,2.0,1939,98109,1070000
596,2,2.0,1415,98125,449000
1693,5,2.0,2800,98103,1200000
1165,2,2.0,1081,98144,620000
962,2,2.0,1019,98119,499000
907,2,2.5,1048,98115,760000
888,3,2.0,2020,98119,900000
704,1,1.0,620,98178,524950
426,4,2.5,3080,98117,1650000
1342,3,2.0,1328,98103,929950
1784,3,2.0,1684,98117,870000
